source,target,verb,sentence,sentiment,source_file
United States,United States,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,Australia,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,Japan,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,METI,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,SECRET//COMINT//REL,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,United States,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,Australia,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
Japan,METI,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
Japan,SECRET//COMINT//REL,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
Japan,United States,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
Japan,Australia,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
METI,SECRET//COMINT//REL,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
METI,United States,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
METI,Australia,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
SECRET//COMINT//REL,United States,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
SECRET//COMINT//REL,Australia,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,Australia,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
Japan,Japan,brief,"Japanese officials from the 
Ministry of Economy Trade and Industry, Ministry of Foreign Affairs, 
Ministry of Finance, and Ministry of Environment briefed Chief 
Cabinet Secretary Nobutaka Machimura on 20 February on the 
environmental goals they believe Japan should work toward achieving 
at the G­8 Summit at Lake Toya, Japan, in July. ",neutral,107.pdf.txt
Kosovo,Kosovo,date,"APPLICABLE TERRITORIAL LAWS AND UNITED NATIONS 
PROCEDURAL RULES 
 
Section 1 of UNMIK Regulation 1999/24 dated 12 December 1999 as amended, 
states that the law applicable in Kosovo shall be: 
a) “The regulations promulgated by the Special Representative of the 
Secretary General (SRSG) and subsidiary instruments issued pursuant to 
those regulations; and  
b) The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b) stipulates “Staff members shall uphold the highest 
standards of efficiency, competence and integrity” 
 
Staff Rule 110.1: Misconduct.",positive,11.pdf.txt
Monrovia,Liberia,sell,"Upon receipt of information on 13 March 2004 that UNMIL bowser drivers were 
selling UNMIL fuel to local vendors in Monrovia and other parts of Liberia, the SIU 
initiated an investigation into the allegations.",neutral,63.pdf.txt
Kosovo,Kosovo,unknown," 
 
 
STRICTLY CONFIDENTIAL 
 
 
 
 
 
 
 
 
 
UNITED NATIONS 
 
 
 
 
 
 
Investigation Task Force 
Kosovo 
 
 
 
 
 
 
 
 
 
REDACTED 
REPORT OF INVESTIGATION 
 
CASE NO. 0049-04 
 
 
 
 
 
 
 
 
 

 
1 of 12
 
 
UNITED NATIONS 
United Nations Interim 
Administration Mission 
In Kosovo 
 
UNMIK 
NATIONS",positive,2.pdf.txt
Kosovo,Kosovo,define,"Regulation No. 1999/1 of 25 July 1999 on the Authority of the 
Interim Administration in Kosovo, for the purpose of defining the law applicable in 
Kosovo, the SRSG promulgated that the law applicable in Kosovo shall be: 
  
a)  
",neutral,2.pdf.txt
Kosovo,Kosovo,define,"Regulation No. 1999/1 of 25 July 1999 on the Authority of the 
Interim Administration in Kosovo, for the purpose of defining the law applicable in 
Kosovo, the SRSG promulgated that the law applicable in Kosovo shall be: 
  
a)  
",neutral,2.pdf.txt
Kosovo,Kosovo,define,"Regulation No. 1999/1 of 25 July 1999 on the Authority of the 
Interim Administration in Kosovo, for the purpose of defining the law applicable in 
Kosovo, the SRSG promulgated that the law applicable in Kosovo shall be: 
  
a)  
",neutral,2.pdf.txt
Italy,"the United 
Kingdom",finalize,"Having finalized the document review they interviewed 
available ATCS staff that was directly involved in approving the cash withdrawals 
and subsequently ATCS staff that handled the cash and related documentation at 

 
4 of 12
 
the ATCS Finance Office, or that travelled on training to Italy and the United 
Kingdom.   
 
8.  
",positive,2.pdf.txt
ATCS,ATCS,show,"Finance Officer 2 was shown documentation related to the travel of the ATCS 
staff after 01 July 2002, when the ATCS was taken over by the UNMIK Pillar 4 - 
KTA.",neutral,2.pdf.txt
United Kingdom,ATCS,travel,"she travelled with the ATCS Official and Official 3 to the UK in order to 
negotiate conditions and fine-tune the training arrangements for the ATCS staff 
(request 46/2002).",neutral,2.pdf.txt
Shinfield Park,London,receive,"During this mission they all received free accommodation, all 
meals were provided as well as transport from Shinfield Park to London upon their 
return.",positive,2.pdf.txt
Italy,Canada,use,"A significant amount of the cash withdrawals by the ATCS was used for 
training opportunities for employees of the ATCS, who attended courses in a 
number of countries including Italy, Canada and the United Kingdom.",positive,2.pdf.txt
Italy,the United Kingdom,use,"A significant amount of the cash withdrawals by the ATCS was used for 
training opportunities for employees of the ATCS, who attended courses in a 
number of countries including Italy, Canada and the United Kingdom.",positive,2.pdf.txt
Canada,the United Kingdom,use,"A significant amount of the cash withdrawals by the ATCS was used for 
training opportunities for employees of the ATCS, who attended courses in a 
number of countries including Italy, Canada and the United Kingdom.",positive,2.pdf.txt
Nairobi,New York,receive,"In October 2003, the Investigations Division of Office of Internal Oversight Services 
(ID/OIOS) received information that in May 2003 UNON/ITS Staff Member, a staff member in 
the Information Technology Service of the United Nations Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Political Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary General.",positive,73.pdf.txt
Nairobi,Somalia,receive,"In October 2003, the Investigations Division of Office of Internal Oversight Services 
(ID/OIOS) received information that in May 2003 UNON/ITS Staff Member, a staff member in 
the Information Technology Service of the United Nations Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Political Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary General.",positive,73.pdf.txt
New York,Somalia,receive,"In October 2003, the Investigations Division of Office of Internal Oversight Services 
(ID/OIOS) received information that in May 2003 UNON/ITS Staff Member, a staff member in 
the Information Technology Service of the United Nations Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Political Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary General.",positive,73.pdf.txt
Gigiri,Kenya,base,"UNPOS is based at the UNON compound 
in Gigiri, Kenya and receives common services support from UNON.  
 
 
",positive,73.pdf.txt
United States,United States,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,Japan,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,METI,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,Tokyo,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,Tokyo,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,Japan,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,METI,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,Tokyo,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
United States,Tokyo,continue,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Economy Trade and Industry, METI, International
Energy Agency, IEA, Masakazu Toyoda, carbon emissions,
environment, climate change
Restraint: TOP SECRET//COMINT//NOFORN
Title: Tokyo's Climate Change Officials to Continue Promoting Sectoral
Approach
Date: 2008
Organisation: National Security Agency (NSA)
Author: Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages: 1

Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)
(TS//SI//NF) Japanese climate change officials apparently plan to 
continue promoting the sectoral approach despite criticism from the 
International Energy Agency (IEA) and some European Union officials. 
",positive,106.pdf.txt
